cell_name,Symbol
PT-1,"ALDOB,MT1G,GPX3,GATM,MT1H,GSTA1,MIOX,PDZK1IP1,FABP1,HPD"
PT-2,"PIGR,MT1G,IL32,ITGB8,CREB5,CXCL14"
PT-3,"VCAM1,CYP1B1,INHBA,BCAM,CFH"
DL,"SLPI,IGFBP3,CLU,PERP,FXYD2,NUPR1"
tAL,"WFDC2,ITM2C,S100A2,S100A6,PAPPA2,SLC12A1,CLDN10,TMPRSS4"
TAL,"UMOD,SLC12A1,KNG1,ATP1A1,SFRP1,ATP1B1,CLDN16,DEFB1,PPP1R1A"
DT-1,"SLC12A3,TMEM52B,SPP1,DEFB1,WNK1,KNG1,ATP1B1,SERPINA5"
DT-2,"CALB1,DEFB1,HSD11B2,SLC8A1,KLK1,ATP1B1,PVALB,TMEM52B,S100A2"
PC,"FXYD4,AQP2,AQP3,ST6GAL1,KRT19,CDH16,WFDC2"
IC-PC,"SLC4A1,TMEM213,DEFB1,RHCG,SLC26A7,ADGRF5,HSD11B2"
IC-A,"SPINK1,SLC4A1,TMEM213,SLC26A7,ATP6V0D2,ATP6V1G3,TMEM101"
IC-B,"KRT7,WFDC2,TSPAN8,SLC26A4,ATP6V1G3,HEPACAM2"
Mesangial,"CFD,LUM,DCN,FBLN1,RARRES1,C1S"
Podo,"FGF1,CLIC5,NDNF,PTGDS,HTRA1,PODXL"
Endo-1,"AQP1,TIMP3,IGF2,IFI27,CLDN5,ICAM2,TM4SF1,RAMP2,SLC9A3R2,SERPINE2"
Endo-2,"PLVAP,DNASE1L3,SDPR,RGCC,IGFBP5,IFI27,RAMP3,FLT1,THBD,TMEM88"
Endo-3,"CRISPLD2,ADAMTS4,RGS5,C11orf96,TM4SF1,GEM,IFI27"
Endo-4,"EMCN,CRHBP,IGFBP5,PLAT,TGFBR2,IFI27,SOST,PLPP3,GNG11,FCN3"
Endo-5,"POSTN,IGFBP5,IL1RL1,EMCN,IFI27CRHBP,SOST,TGFBR2,PLAT,EHD3"
vSMC-1,"HIGD1B,RGS5,NDUFA4L2,TAGLN,PHLDA1,ACTA2,BGN,MYL9,FRZB"
vSMC-2,"CNN1,TAGLN,ACTA2,MYH11,PLN,TPM2,MYL9,RERGL"
Macro-1,"IL1B,FCER1G,BCL2A1,LST1,LYZ,CTSS,TYROBP,S100A9"
Macro-2,"MS4A6A,HLA-DPB1,GPR183,RGS1,HLA-DPA1,HLA-DRA,HLA-DQB1,CD74,SRGN"
Bcell,"CD79A,IGKC,MS4A1,CD52"
Tcell,"CD2,IL7R,CD3D,CXCR4,PTPRC"
NK,"GNLY,NKG7,GZMB,CCL5,CST7,KLRD1,FGFBP2,GZMA,FCGR3A"
Tumor,"CA9,HILPDA,PDZK1IP1,ANGPTL4,CXCL14"
