"","cluster","gene"
"1","0","CD2"
"2","0","BCL11B"
"3","0","CD96"
"4","0","THEMIS"
"5","0","SKAP1"
"6","0","CD3G"
"7","0","CD3D"
"8","0","CAMK4"
"9","0","PTPN22"
"10","0","TRBC2"
"11","0","ITK"
"12","0","IKZF1"
"13","0","CD3E"
"14","0","PARP8"
"15","0","EMB"
"16","1","CAVIN2"
"17","1","PTPRB"
"18","1","SLC9A3R2"
"19","1","PLPP3"
"20","1","ESM1"
"21","1","KDR"
"22","1","EFNB2"
"23","1","EMCN"
"24","1","IGFBP5"
"25","1","ROBO4"
"26","1","CHRM3"
"27","1","TEK"
"28","1","JCAD"
"29","1","FCN3"
"30","1","MYCT1"
"31","2","C1QA"
"32","2","C1QB"
"33","2","C1QC"
"34","2","APOC1"
"35","2","MS4A4A"
"36","2","SLC1A3"
"37","2","GPNMB"
"38","2","PLTP"
"39","2","FOLR2"
"40","2","TREM2"
"41","2","LILRB4"
"42","2","FCGR1A"
"43","2","F13A1"
"44","2","VSIG4"
"45","2","PLA2G7"
"46","3","NDUFA4L2"
"47","3","IGFBP3"
"48","4","SLC13A1"
"49","4","SLC16A9"
"50","4","GPX3"
"51","4","ACSM2B"
"52","4","SLC5A12"
"53","4","ASS1"
"54","4","TSPAN1"
"55","4","ALDOB"
"56","4","SLC6A19"
"57","4","PRAP1"
"58","4","TMEM174"
"59","4","S100A1"
"60","4","CLDN2"
"61","4","HPD"
"62","4","FABP1"
"63","5","DEFB1"
"64","5","TMEM213"
"65","5","CLCNKB"
"66","5","HSD11B2"
"67","5","ATP6V0A4"
"68","5","RHCG"
"69","5","KLK1"
"70","5","SLC4A1"
"71","5","FXYD4"
"72","5","SMIM5"
"73","5","KNG1"
"74","5","CLCNKA"
"75","5","PRDM16-DT"
"76","5","DMRT2"
"77","5","TMPRSS2"
"78","6","CD247"
"79","6","KLRB1"
"80","6","CD7"
"81","6","KLRD1"
"82","6","CTSW"
"83","6","GNLY"
"84","6","KLRK1"
"85","6","TXK"
"86","6","MCTP2"
"87","6","PRF1"
"88","6","HOPX"
"89","6","AREG"
"90","6","XCL2"
"91","6","GZMB"
"92","6","APBA2"
"93","7","TAGLN"
"94","7","TPM2"
"95","7","PRKG1"
"96","7","MYL9"
"97","7","ACTA2"
"98","7","SLIT3"
"99","7","MYH11"
"100","7","COL1A2"
"101","7","PDGFRB"
"102","7","PLN"
"103","7","COL1A1"
"104","7","CARMN"
"105","7","SLC7A2"
"106","7","EDNRA"
"107","7","ABCC9"
"108","8","FCN1"
"109","8","KYNU"
"110","8","AQP9"
"111","8","HCK"
"112","8","SMIM25"
"113","8","EREG"
"114","8","LILRB2"
"115","8","CD300E"
"116","8","IL1RN"
"117","8","CFP"
"118","8","LILRA5"
"119","8","LIPN"
"120","8","AC079753.2"
"121","8","AC005280.2"
"122","8","LINC02432"
"123","9","VCAM1"
"124","9","TNFRSF12A"
"125","9","NNMT"
"126","9","CP"
"127","9","RRAD"
"128","9","ITGB8"
"129","9","CLDN3"
"130","9","CCL2"
"131","9","SEZ6L2"
"132","9","EDN1"
"133","9","MMP7"
"134","9","HLA-G"
"135","9","CLDN1"
"136","9","C1QL1"
"137","9","UBD"
"138","10","PVALB"
"139","10","CKB"
"140","10","RHCG"
"141","10","PCP4"
"142","10","MT3"
"143","10","SLC26A7"
"144","10","DUSP15"
"145","10","ATP6V1B1"
"146","10","PART1"
"147","10","TMEM61"
"148","10","DHRS2"
"149","10","FGF7"
"150","10","SYT10"
"151","10","CCDC151"
"152","10","HEPACAM2"
"153","11","PVALB"
"154","11","CKB"
"155","11","DEFB1"
"156","11","FXYD2"
"157","11","RHCG"
"158","11","KRT8"
"159","11","CHCHD10"
"160","11","PCP4"
"161","11","KLK1"
