Celltype_Source_ID,Genes
aDC,"C1QA,C1QB,CD80,IL12B,CCL13,CCL17,CCL19,CCL22,FPR3,HLA-DQA1,IL3RA,CXCL9,PTGIR,CCL8,CCL23,SLAMF1,SIGLEC1,TRAF1,TNFRSF4,TXN,SOCS3,HS3ST3B1,CD209,LILRA5,ACHE,ADPRH,ALOX15B,ANXA5,XIAP,ARF3,RHOG,ATP1B3,BLVRA,C3AR1,CASP5,CD86,CCR5,CMKLR1,EIF5,ENO1,ETV3,FCER1G,FCER2,GMFB,GNG5,GRB2,RAPGEF1,HCK,HRH2,DNAJA1,IL2RA,IL9,IL10,IL10RA,IMPDH1,IRF4,KCNMB1,LAIR1,LOR,RAB8A,MTF1,NFE2L2,NFKB1,NFKBIB,NRAS,OSM,P2RX7,PAK2,PGK1,PITPNA,MAP2K1,RAB5A,RELA,CLIP1,S100A10,CCL1,CCL4,CCL7,CCL18,CCL24,SLC1A2,SLC6A12,SRC,STAT2,TCF21,DYNLT1,TPI1,VRK2,XPNPEP1,ZBTB17,CUL1,RRP1,SCARF1,ALDH1A2,TAX1BP1,SPAG9,TMSB10,MAP3K13,TRIP4,H6PD,WTAP,ARHGEF11,TMCC2,ABI1,BCL2L11,ARPC4,ARFRP1,RAMP3,LILRB2,BCKDK,CXCL13,EXOC5,MTHFD2,SEC24A,NEU3,LILRB1,CD300C,LILRB5,RAB35,OGFR,HPS5,TREX1,TFEC,RAB21,KDM6B,FAM175B,MGRN1,TDRD7,ABCA6,DNPEP,ACOT9,NUP62,BCL2L13,FBXL4,SIGLEC7,CYTH4,SIGLEC9,TOR1B,GPR132,IL19,ANKFY1,AZIN1,RIN2,TBC1D13,GPN2,C1orf27,ARL8B,ZNF654,TBC1D22B,MFN1,SCYL2,CHFR,KCNK13,C5orf15,RPGRIP1,CAMK1G,DENND1A,GPR107,HAMP,MIIP,NSUN3,MMP25,UBE2Z,TNIP2,OPA3,TMX1,SLCO5A1,NETO2,MED25,SLC25A28,ADPGK,MAGT1,DOT1L,TMEM41B,ELL,N4BP1,ABTB2,TRPC4AP,SNX11,CHMP5,NECAP2"
Adipocytes,"ADH1B,DLAT,GPD1,LBP,PLIN1,PPP1R1A,PPP2R1B,PTGER3,CILP,ADIPOQ,COL5A3,PNPLA2,ATP5G3,HADHA,DBI,ATP1A2,HP,TF,C6,SLC25A6,ECHDC1"
Astrocytes,"CNN1,COL11A1,DNA2,FABP7,GPC4,CENPI,FZD2,GLI2,GNG3,GPX7,TNC,LOXL1,LRP4,NNAT,POU3F3,PTN,PTX3,RBP1,SDC2,TFAP2C,TRO,XRCC2,ADAM12,DPF3,ST8SIA2,ZNF239,DCHS1,KIF20B,REC8,PNMA2,CAND2,FBXL7,SYT11,DAPK2,ANKRD1,NT5DC3,PNMAL1,ASAP3,DOK5,GABRQ,AGPAT4,NCAPG,FSD1,KIF18A,MXD3,PSRC1,OLFML2A,CBR3,CLCN2,GRM7,HIST1H1D,KIFC1,MCM3,SCN5A,STAC,RECQL4,TRIOBP,RIBC2,FAM64A,NT5DC2,TMEM135,ACSS3,ATF7IP2,TRIM45,GINS4,CBX2,H2AFV,ACTA2,ACTG2,APLP1,BGN,BST1,C1S,SERPINH1,CDH6,CDH11,CHN1,CLU,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL8A2,COL13A1,CRABP2,VCAN,DCN,DIO2,DPYSL3,DUSP2,FAP,FBLN2,FBN1,FGFR1,FGG,FLNC,FN1,GATA6,GBP2,GEM,GNG11,CFH,HOXB2,CFI,IGFBP2,IGFBP3,IGFBP5,IGFBP6,ITGA7,AFF3,LAMA4,LIF,LOX,LUM,MAP1A,MATN2,MDK,MEST,MFAP4,MGP,MMP2,MN1,MYLK,NAP1L3,CLDN11,OXTR,PALM,PAX6,PCOLCE,PDGFRA,PDGFRB,SERPINF1,PLN,PPP1R3C,PTGIS,PTPRN,RARB,RARRES1,RARRES2,RGS4,CCL2,CXCL12,SFRP4,SLC14A1,SPARC,TAGLN,NR2F1,TFPI,TGM2,THY1,TIMP1,TIMP2,TNS1,TPM1,TPM2,TNFSF4,UCHL1,VCAM1,WNT5A,MFAP5,FZD7,RGS5,PDE5A,ADAM19,CACNA1H,DIRAS3,CRLF1,DHRS3,ADAMTS2,SEMA3E,HEPH,MRC2,GFPT2,HS3ST3A1,EDIL3,LRRC17,BTN3A3,MYL9,SPON2,POSTN,NES,GLIPR1,PADI2,FILIP1L,SYNPO,NID2,NFASC,SULF1,MXRA5,MOXD1,PCOLCE2,GREM1,SRPX2,EFEMP2,CPA4,COPZ2,SLC22A17,DACT1,TRPV2,SCARA3,MXRA8,SYTL2,MEG3,OLFML3,RCN3,FKBP10,CLSTN2,XYLT1,C9orf16,GLT8D2,SLC12A8,CREB3L1,CHRDL1,LYPD1,ZCCHC24"
B-cells,"BLK,CD19,MS4A1,CD22,CD37,CD79A,PNOC,SNX2,MBD4,STAG3,PWP1,SP140,GGA2,STAP1,FCRL2,SMC6,BTK,CSNK1G3,PHKB,TRAF3,DEPDC5,CD180,POU2F1,PRKCB,UBE2G1,PRDM2,SLC24A1,BCL2L11,PRDM4,RRAS2,SIPA1L3,P2RY10,CDC40,MIOS,AFTPH,DEF8,ARHGAP17,MFN1,WDR11,C12orf49,PIKFYVE,JMJD1C,MCM9,EGOT,HLA-DOA,SPIB,TNFRSF13B,VPREB3,ACTN2,TNFRSF17,CXCR5,CD53,CD72,CD79B,CNR1,CNR2,DAXX,DNASE1,AFF2,GDI2,GPR18,HTR3A,IFNW1,IL17A,INPP5B,KCNN3,MGAT5,PAX5,PGR,POU2F2,SYPL1,TERT,SEC62,SLC30A4,TCL1A,RNGTT,S1PR2,RECQL5,LY86,MYOT,TCL1B,LSM6,IKZF3,CNOT1,KIAA1033,TCL6,ITSN2,HDAC7,QRSL1,ATF7IP,UTP6,AICDA,DCLRE1C,BMP8B,CHAD,CCR6,COL19A1,CR1,GPR25,HLA-DPB1,HSPA4,LY9,CIITA,MAP3K9,MMP17,RPS11,RPS16,TROVE2,ZNF37A,ZNF154,ZNF202,ZNF208,AP3B1,S1PR4,BAIAP3,KIAA0430,CEPT1,NUP160,ZZZ3,PLA2G2D,ZNF638,KCNIP2,ANKMY1,TLR7,POLR3K,GPRC5D,NSUN5,ZNF701,C5orf15,RIC3,MRM1,CEACAM21,ZNF688,IFNA2,SLC13A2"
Basophils,"ALAS2,ARR3,ART3,C8A,CD72,DEFA5,EFNA2,GPR3,ONECUT1,HP,CXCR2,KCNA5,KCNJ13,LECT2,LEP,SMCP,MPO,MYH1,NPY5R,OMG,PRKACG,PRL,TGM3,TCL1A,AKAP4,C6orf10,FRS3,LAMB4,CLCA4,AHCTF1,BMP10,AMOTL2,ARHGAP17,TEX12,C11orf16,OTUD7B,SLC17A6,CASS4,LRTM1,HPSE2,FBRS,CXorf36,SLCO5A1,ATXN3L,GATC,ACTN2,ADCY2,ADH1A,ADPRH,ADRA1A,AGTR2,ALDOB,APOF,ART1,BRDT,C9,CETP,CEACAM7,COL19A1,CPA1,CRHR2,CTRL,CYP2A7,CYP17A1,CYP19A1,CYP21A2,DAZL,DCT,DSP,EPHA3,F9,F13B,FCN2,GABRA1,GABRG3,GNG3,GRB2,GRIK4,GRIN2A,GRM4,GRM7,GUCA1B,HTN3,HTR1D,HTR1E,HTR6,IBSP,IFNAR1,IFNW1,IL12RB1,INHA,IRF4,KCNA4,KCNC3,KCND3,KCNJ1,KRT19,KRT33B,KRT83,KRT84,LPO,MAGEB4,MCF2,TRPM1,MOBP,MUC7,MYF6,MYOC,MYOD1,NKX6-1,NTRK1,NTRK2,PAX7,PDHA2,PLP1,PMP2,POU1F1,PPEF2,MAPK12,SCN7A,CCL21,SEMG2,SI,SLC5A4,SLC5A5,SLC6A1,SLC6A11,SLC10A2,SLC13A1,SSX5,TAC1,TLL2,CLEC3B,TNNT2,TNNT3,TNP2,USH2A,VPREB1,ZNF16,ZNF214,SLC30A4,FGF23,HIST1H2BL,UNC5C,ABCB11,ADAM7,ALDH1A2,PHOX2B,WASL,HTR3B,FHL5,NR1I3,NR2E3,SSX3,CACNG3,TACC3,RPP38,SMR3B,ZPBP,KERA,INSL6,CYP4F8,RBPJL,FSTL4,CRB1,SPO11,AIPL1,SLC24A2,CLEC4E,FBXO22,INVS,RBMXL2,ADAMDEC1,PNMA3,PDZRN4,CALY,TAS2R14,PDE11A,MRPS7,MYO15A,TFDP3,SPTBN5,MS4A4A,SLCO1C1,GPR85,DDX4,MAGEL2,DNAJC28,ACSM5,PDPR,HJURP,DNAH3,IL26,MEPE,CD177,MYOZ1,NEUROD6,ELSPBP1,NPVF,MRPS15,TRIM48,ADM2,TRPM3,ZKSCAN3,SPACA1,CCDC70,BRIP1,MYLK3,ZXDB,KRT24,KHDRBS2,SCGB2A2,PCDHA2,TMEM212,CLK1,DEFA4,GPR183,ERN1,FCN1,FGR,GRK6,GTF3C1,GZMH,GZMB,HRH2,KLRD1,LAIR2,MMP8,NKG7,PF4V1,PI4KB,PLCB2,RFX2,RGS1,RNASE2,S100A12,XCL1,VIM,VAPA,CD101,GSTO1,BCL2L11,NMUR1,GNLY,LILRA1,LILRA2,JMJD6,PADI4,TBK1,WRAP53,RETN,CYSLTR2,DENND1A,NAA16,TUBB1,POLDIP3,CEACAM8,NCR1,NXT1,DERL2"
CD4+ memory T-cells,"AAMP,ACTL6A,ADSL,AKT2,ANXA7,ARL2,ATF1,BTF3,CCNC,CD2,CD5,CD6,CD28,CDK9,CETN3,CCR4,COX7C,CSNK1A1,CSNK2A2,CTBP1,CTLA4,DAD1,DDX3X,DR1,GPR183,EIF4G2,ERH,ESD,FNTA,GABPA,GLUD1,HDAC1,HINT1,HMOX2,HNRNPH3,HNRNPU,DNAJB1,EIF3E,ITK,JAK3,KIF22,KTN1,LDHB,SH2D1A,SMAD2,MAGOH,NCL,NDUFS5,PFN1,PLP2,POLD2,PPID,PPP1CB,PPP1CC,PPP2R5D,PPP6C,PTPN11,RAD21,RANBP1,RBM3,RGS1,RPL4,RPL5,RPL8,RPL13,RPS3,RPS6,RPS19,SLAMF1,SOD1,SP3,SRP9,SURF2,THOP1,TPP2,TPT1,TSN,TSSC1,UBE2D2,UBE2D3,UBE2N,UQCRC2,CNBP,DAP3,FXR1,UXT,PKP4,API5,PRPF18,DENR,STK16,RUVBL1,SSNA1,PABPC4,SUCLG1,GALR2,DPM1,NAE1,EIF2B5,FUBP3,BUB3,WDR46,ATG5,PSMF1,BAG3,PREPL,TTC37,SAFB2,CEP57,MATR3,RANBP9,ARPC4,BCAS2,DNAJA2,MAEA,PPIH,PFDN6,HMGN4,EIF3M,ANP32B,TBL3,USP39,PTGES3,CLPX,PAPOLA,SUB1,DBF4,C11orf58,HNRNPA0,COPS5,CPSF6,NUPL2,PDCD10,CBX3,U2AF2,RRP1B,MRPS27,SMC5,METAP1,RPL13A,CD2AP,EID1,ATXN10,RPL36,AHCTF1,ZZZ3,PPA2,SERP1,MMADHC,PRPF19,MRPS18B,METTL5,ICOS,TRA2A,UBIAD1,GPR132,UBQLN2,GLOD4,FCF1,COPS4,RSL24D1,CDC40,EIF3L,RWDD1,TRMT112,CMPK1,ETAA1,GATAD2A,MRPL20,SMU1,IMP3,LIN7C,CDV3,CDKN2AIP,AMBRA1,OSGEP,INTS8,KBTBD4,EXOC2,PCID2,ZC3H15,UNC45A,NKRF,PCNP,THAP11,ZDHHC6,MRPL11,ACD,MRPL44,MRPS34,DDX50,SPAG16,CBLL1,RPF1,THOC7,GRPEL1,ISCA1,DOHH,C12orf29,ATPIF1,SLC25A6,EEF2,KARS,RNF6,THRAP3,FARS2,RBM34,TINF2,SLC25A38,CD3G,CD40LG,GPR15,LIMS1,RBL2,DLEC1,CXCR6,TRAT1,ARHGAP15,GZMA,GZMK,HMGB2,PDCD1,CD226,GPR171,UBASH3A,MEN1,PTPN4,ZNF236,CD96,SEC23IP,AURKAIP1,RNF34"
CD4+ naive T-cells,"CD3E,CD6,CD7,CCR7,DSC1,JAK3,PLCL1,PLCG1,ZAP70,CABIN1,PLXDC1,GPSM3,ANKRD55,LIMD2,CHMP7,APBB1,CD27,TNFSF8,GRK6,GZMM,PRMT2,IDUA,INSL3,ITK,NUMA1,PHF1,RXRB,SELPLG,ZNF76,CUBN,PIP4K2B,NCK2,CDK10,TNK1,ACAP1,TSPAN32,ARFRP1,42987,MSL3,WDR6,MLXIP,LEPROTL1,SH2B1,IPCEF1,KLHL3,SIT1,TRAT1,CRLF3,RAPGEF6,FAM193B,SIRPG,PACS1,RNPEPL1,CREBZF,NDFIP1,OBSCN,CLC,CTSW,DNAJB1,RBL2,HAUS3,ZNF394,GLG1,LY9,MAK,RBMS1,ATXN7,CUL1,MTRF1,BMS1,CEPT1,AAK1,SORCS3,CLUAP1,ICOS,COQ6,PHF20L1,POP5,NUDT9,UBASH3A,GIN1,SETD5,KDM3A,NAA16,TRAF3IP3,TMEM30B,FKTN,IL16,KRT2,NPAT,VPS52,UTP20,RNF216,TUG1,NOL9,CD3G,CD4,CD5,HMOX2,RPA3,RPLP2,RPL14,SNPH,TBC1D5,RAB3GAP1,MLH3,PARP11,MKL1,GIMAP6,CD40LG,INPP4A,TRAF1,CD2,CD247,RPL38,RPS6,ZNF264,ZBTB40,PRMT3,USP16,NUP50,ZNF609,RPRD2,FCF1,COPS7B,DDX31,KRI1,DDX50,ACBD4,SLTM,RPAP2,WDR82,ZNF780B,CASP8,CD28,CDK1,CTLA4,LAIR2,SUPV3L1,TPP2,GRAP2,ZNF263,CD226,CA5B,FNBP4,NUDCD3,STAP1,TEX264,POLR3E,DPEP2,TATDN2,DIDO1,REV1"
CD4+ T-cells,"BAD,CD2,CD3G,CD5,CD28,CD40LG,CCR4,CCR7,CTLA4,GOLGA4,HMOX2,MGAT2,NFE2L2,PLCL1,PPP2CA,SON,SUPV3L1,TRAF1,TSPYL1,FBXO21,FNBP4,NUDCD3,LEPROTL1,ICOS,TRAT1,FOXP3,SIRPG,POLR3E,USP36,DDX31,RIC3,SLTM,HIPK1,ATXN7L1,CD3E,CD6,DNAH6,HNRNPU,DNAJB1,MBNL1,SFPQ,TPP2,UBP1,ZAP70,OFD1,HERC1,RBM19,DLEC1,CCR9,ZCCHC11,PHF3,LSM14A,TOR1AIP1,IL21R,WBP11,USP47,THAP1,MKL1,RBM25,RSRC2,ZXDC,HAUS3,C14orf169,ARID5B,TOE1,TUBGCP5,SNX19,APBB1,ITK,PLCG1,PSD,SSTR3,TTN,CUBN,SNPH,SPEG,MSL3,KLHL3,RAPGEF6,PLXDC1,NOL9,ANKRD55,OBSCN,CHMP7,PPWD1,KRIT1,CCNT2,CD4,TNFSF8,CCR8,DDX5,DSC1,GPR183,EZH1,FCN1,GP5,PRMT2,ITIH4,LY9,PABPC3,POU6F1,PPM1B,RBL2,RXRG,ATXN7,TPT1,NR2C1,NCK2,CDC14A,FUBP1,UBA3,SGSM2,HMGN4,DIDO1,CA5B,AAK1,MORC2,SACM1L,USP33,MTO1,IPCEF1,ZBTB11,SIT1,PNMA3,UBQLN2,CRLF3,UBASH3A,LAX1,TUG1,PRPF38B,ASXL2,GIMAP4,THUMPD1,ARHGAP15,ZC3HAV1,ALG13,CBLL1,TRMT2B,TRIM46,FBXO11,TRAF3IP3,ZNF611,NFATC2IP,TMEM123,ZFC3H1,GIMAP6,CCR2,ABCD2,CD3D,CD7,CD27,TNFRSF4,ARHGEF1,TOMM20,CD96,GPR171,ZNF335,ZNHIT6"
CD4+ Tcm,"ADSL,AK1,CD247,CD40LG,CSNK1D,CTLA4,DNMT1,GOLGB1,ITIH4,MAN2C1,NFRKB,PLCG1,POLR2A,PSMD2,RAD9A,SPTAN1,SUPT6H,NR2C1,TSC1,USP4,DGCR14,DHX16,RAE1,BAG3,SGSM2,HUWE1,RBM5,NXF1,SORCS3,MYO16,EDC4,MTO1,ZNF638,CNIH4,ICOS,FAM193B,FBXL8,EXOC1,KDM3A,USP36,CORO7,ANKRD55,CBLL1,CD2,CCR7,TPR,TRADD,MSL3,AAK1,ARHGAP15,YLPM1,WDR59,TRAF3IP3,42988,LY9,NAP1L4,NPAT,PLCL1,SLAMF1,ZNF200,EIF2B5,USP10,ITGB1BP1,ACAP1,NME6,USP39,FASTK,DIDO1,WDR6,CA5B,TCF25,MCF2L2,GGA3,SMG5,KBTBD2,IPCEF1,UBQLN2,COL5A3,ANAPC5,UBASH3A,PIGG,OLAH,PCDHGA9,INPP5E,DDX24,NUP85,CAMSAP1,BMPR1A,CD4,CD5,CD6,CD28,TNFSF8,CD48,DAB1,SARDH,DVL1,ERN1,GP5,GPR15,IDUA,ITK,KRT1,POU6F1,PSD,RPL38,SCNN1D,TCF20,TPO,TNFRSF4,XPC,NCK2,CDC14A,SNPH,DLEC1,SPEG,HNRNPUL1,MORC2,NCDN,RRS1,GMEB2,PNMA3,GLTSCR2,TRAT1,FXYD7,KBTBD4,ZC3HAV1,SLC4A5,DNAI2,TRIM46,OBSCN,ARID5B,TRMT61A,ZXDB,TMEM30B,CCR4,CRY2,DNAJB1,LTA,PURA,RPS16,RPS21,STK11,TFAP4,ZRSR2,JOSD1,IKZF1,42987,TAB2,SNTG2,TOMM7,SIRPG,CDKN2AIP,THAP11,NDRG3,CCR8,APBB1,CCR6,GPR25,IL2RA,KALRN,SOCS3,ZFYVE9,PLCH2,PLXDC1"
CD4+ Tem,"RPN2,SLAMF1,SPTAN1,TRADD,MYO16,MCF2L2,ESYT1,TRAPPC2L,ARHGAP15,RIC8A,TNFSF8,GPR25,SELPLG,SMARCC2,LZTR1,CCR9,SIT1,FBXL8,RNPEPL1,CD2,CTLA4,DNAJB1,RGS1,CLIP1,DYNLT1,COLQ,CDC14A,RANBP9,ICOS,TRAT1,SMAP1,SAMSN1,HAUS3,42988,ARAF,CAPZB,CCNT1,CD3E,CD4,CD5,CD40LG,CD52,COPB1,DYNC1H1,E4F1,EMD,GOLGB1,GPI,CXCR3,GRM3,IDE,IK,IL10RA,ITIH4,ITK,MARK3,NDUFB2,NFKB1,NFRKB,PABPC3,PGK1,PLCL1,PSMD9,RABGGTA,RBL1,RRM1,S100A11,SOS1,SSR2,TAF10,TBCC,TCF20,TRAF1,TUFM,XPC,BRPF1,DGCR14,RBM10,MAPKAPK5,MKNK1,EIF3A,EIF3G,RIPK1,TAF1B,USP10,MTMR6,ZFYVE9,BAG3,APBA3,RNF7,SEC24C,N4BP1,MAML1,SLC35B1,BCAS2,SF3A1,SLC9A6,CGRRF1,DCTN6,GIPC1,42987,JTB,COPS6,SF3B2,CDC37,MORC2,TCF25,CNOT1,JMJD6,RRS1,KIAA0368,CABIN1,COG4,AHCTF1,IBTK,GORASP2,GIT1,C19orf53,UBIAD1,COL5A3,GOLGA7,RWDD1,TRAPPC4,VPS54,SRRT,DDX56,STX17,THUMPD1,NECAP2,ZC3HAV1,USP36,ELAC2,GPSM3,NSD1,NOL6,PVRIG,TNIP2,FYCO1,CDC73,FBXO31,MUS81,ZNF394,SPSB3,SLC38A10,ASB6,AIRE,CD6,CD28,CD48,CCR4,CCR6,CCR8,ERN1,GPR15,GZMK,IL5RA,ITGB7,KLRB1,KRT1,LTA,LTK,OSM,PDCD1,RPL38,RPS21,TPO,TNFRSF4,TKTL1,HIST1H3A,NCK2,DLEC1,STUB1,HMGN4,NCDN,GALNT8,GPR171,GLTSCR2,UBASH3A,FXYD7,KBTBD4,DNAI2,CCR2"
